Jugadores;Posicion;Edad;Altura;Pie;Fichado;Equipo Anterior;Valor de mercado;Temporada;Club
Tomás Galván;Mediocentro ofensivo;32;1,72;derecho;-;;-;2021;River Plate
Benjamín Rollheiser;Extremo derecho;21;1,71;izquierdo;01/01/2020;Libre;700000;2021;River Plate
Santiago Simón;Extremo derecho;35;1,81;derecho;01/07/2021;Libre;550000;2021;River Plate
Rafael Borré;Delantero centro;33;1,74;derecho;07/08/2017;Atlético de Madrid;17000000;2021;River Plate
Julián Álvarez;Delantero centro;18;1,7;derecho;01/02/2022;Manchester City;15000000;2021;River Plate
Braian Romero;Delantero centro;20;1,75;derecho;07/07/2021;CSD Defensa y Justicia;4000000;2021;River Plate
Federico Girotti;Delantero centro;35;1,9;derecho;01/09/2020;Libre;4000000;2021;River Plate
Matías Suárez;Delantero centro;18;1,83;derecho;26/01/2019;Club Atlético Belgrano;3200000;2021;River Plate
Agustín Fontana;Delantero centro;24;1,76;derecho;15/02/2021;CA Banfield;1800000;2021;River Plate
Lucas Beltrán;Delantero centro;25;1,76;derecho;01/07/2021;Libre;500000;2021;River Plate
Daniel Lucero;Delantero centro;28;1,73;derecho;-;;-;2021;River Plate
Franco Armani;Portero;24;1,89;derecho;03/01/2018;Atlético Nacional;3500000;2022;River Plate
Ezequiel Centurión;Portero;22;1,84;derecho;01/01/2022;Libre;300000;2022;River Plate
Franco Petroli;Portero;29;1,87;izquierdo;01/01/2022;Libre;50000;2022;River Plate
Paulo Díaz;Defensa central;30;1,82;derecho;01/08/2019;Al-Ahli SFC;7000000;2022;River Plate
David Martínez;Defensa central;21;1,85;izquierdo;01/01/2023;CSD Defensa y Justicia;6500000;2022;River Plate
Robert Rojas;Defensa central;33;1,76;derecho;16/01/2019;Club Guaraní;4500000;2022;River Plate
Leandro González Pírez;Defensa central;25;1,86;derecho;10/01/2022;Inter Miami CF;1700000;2022;River Plate
Emanuel Mammana;Defensa central;34;1,83;derecho;10/01/2022;Libre;1500000;2022;River Plate
Javier Pinola;Defensa central;22;1,8;izquierdo;01/07/2017;CA Rosario Central;175000;2022;River Plate
Jonatan Maidana;Defensa central;17;1,85;derecho;13/02/2021;Deportivo Toluca FC;175000;2022;River Plate
Elías Gómez;Lateral izquierdo;21;1,74;izquierdo;27/01/2022;Argentinos Juniors;3200000;2022;River Plate
Fabrizio Angileri;Lateral izquierdo;22;1,85;izquierdo;01/07/2019;CD Godoy Cruz Antonio Tomba;3000000;2022;River Plate
Milton Casco;Lateral izquierdo;19;1,69;derecho;10/09/2015;CA Newell's Old Boys;2000000;2022;River Plate
Andrés Herrera;Lateral derecho;18;1,78;derecho;08/02/2022;CA San Lorenzo de Almagro;3200000;2022;River Plate
Enzo Fernández;Pivote;26;1,78;derecho;01/07/2021;Libre;15000000;2022;River Plate
Bruno Zuculini;Pivote;19;1,82;derecho;29/01/2018;Libre,25 mill. €;2000000;2022;River Plate
Enzo Pérez;Pivote;25;1,79;derecho;01/07/2017;Valencia CF;2000000;2022;River Plate
Felipe Peña Biafore;Pivote;26;1,8;derecho;01/01/2023;CA River Plate Inferiores;750000;2022;River Plate
Nicolás de la Cruz;Mediocentro;23;1,67;derecho;15/08/2017;Liverpool FC Montevideo;13000000;2022;River Plate
Rodrigo Aliendro;Mediocentro;23;1,73;derecho;27/06/2022;Club Atlético Colón;2300000;2022;River Plate
Cristian Ferreira;Mediocentro;21;1,75;derecho;01/01/2019;Libre;1500000;2022;River Plate
José Paradela;Mediocentro;24;1,8;izquierdo;15/02/2021;Club de Gimnasia y Esgrima La Plata;1300000;2022;River Plate
Agustín Palavecino;Mediocentro ofensivo;22;1,79;derecho;12/02/2021;Deportivo Cali;6000000;2022;River Plate
Juan Fernando Quintero;Mediocentro ofensivo;27;1,69;izquierdo;10/02/2022;Shenzhen FC;5000000;2022;River Plate
Tomás Pochettino;Mediocentro ofensivo;29;1,8;derecho;10/01/2022;Austin FC;3900000;2022;River Plate
Esequiel Barco;Extremo izquierdo;20;1,67;derecho;29/01/2022;Atlanta United FC;10000000;2022;River Plate
Santiago Simón;Extremo derecho;26;1,81;derecho;01/07/2021;Libre;6000000;2022;River Plate
Pablo Solari;Extremo derecho;27;1,78;derecho;18/07/2022;CSD Colo Colo;1800000;2022;River Plate
Franco Alfonso;Extremo derecho;18;1,65;derecho;01/01/2023;CA River Plate Inferiores;-;2022;River Plate
Julián Álvarez;Delantero centro;22;1,7;derecho;01/02/2022;Manchester City;23000000;2022;River Plate
Braian Romero;Delantero centro;23;1,75;derecho;07/07/2021;CSD Defensa y Justicia;4000000;2022;River Plate
Miguel Borja;Delantero centro;20;1,84;derecho;12/07/2022;Junior de Barranquilla;3700000;2022;River Plate
Matías Suárez;Delantero centro;23;1,83;derecho;26/01/2019;Club Atlético Belgrano;3000000;2022;River Plate
Lucas Beltrán;Delantero centro;34;1,76;derecho;01/07/2021;Libre;1500000;2022;River Plate
Flabián Londoño;Delantero centro;22;1,8;derecho;01/01/2023;CA River Plate Inferiores;50000;2022;River Plate
Joaquín Panichelli;Delantero centro;19;1,87;derecho;-;;-;2022;River Plate
Agustín Orión;Portero;19;1,87;derecho;01/07/2003;CA San Lorenzo de Almagro Inferiores;5000000;2008;San Lorenzo
Sebastián Saja;Portero;21;1,9;ambidiestro;09/07/2005;Córdoba CF;4500000;2008;San Lorenzo
Nereo Champagne;Portero;17;1,88;derecho;01/07/2004;CA San Lorenzo de Almagro Inferiores;500000;2008;San Lorenzo
Bruno Centeno;Portero;20;1,81;derecho;01/07/2008;CA San Lorenzo de Almagro Inferiores;50000;2008;San Lorenzo
Matías Vega;Portero;20;1,91;derecho;-;;50000;2008;San Lorenzo
Jonathan Bottinelli;Defensa central;22;1,79;izquierdo;10/08/2009;UC Sampdoria;4250000;2008;San Lorenzo
Gastón Aguirre;Defensa central;19;1,78;derecho;01/07/2007;CA Newell's Old Boys;2000000;2008;San Lorenzo
Pablo Alvarado;Defensa central;21;1,82;derecho;01/07/2004;Comisión de Actividades Infantiles U19;1500000;2008;San Lorenzo
Sebastián Méndez;Defensa central;26;1,77;derecho;01/07/2006;RC Celta de Vigo;1300000;2008;San Lorenzo
Cristian Tula;Defensa central;29;1,76;derecho;01/07/2007;Libre;1100000;2008;San Lorenzo
Nicolás Bianchi Arce;Defensa central;31;1,88;derecho;01/01/2006;CA San Lorenzo de Almagro Inferiores;600000;2008;San Lorenzo
Fernando Meza;Defensa central;18;1,76;derecho;01/01/2009;CA San Lorenzo de Almagro Inferiores;-;2008;San Lorenzo
Aureliano Torres;Lateral izquierdo;23;1,78;izquierdo;01/01/2007;Club Guaraní;1900000;2008;San Lorenzo
Germán Voboril;Lateral izquierdo;18;1,76;izquierdo;01/07/2006;CA San Lorenzo de Almagro Inferiores;1500000;2008;San Lorenzo
Diego Placente;Lateral izquierdo;25;1,75;izquierdo;01/07/2010;Libre;850000;2008;San Lorenzo
Lautaro Formica;Lateral izquierdo;24;1,74;izquierdo;01/07/2007;CA Newell's Old Boys;600000;2008;San Lorenzo
Juan Martín Cadelago;Lateral izquierdo;24;1,78;izquierdo;-;;50000;2008;San Lorenzo
Michael Diaz;Lateral izquierdo;26;-;izquierdo;-;;50000;2008;San Lorenzo
Adrián González;Lateral derecho;20;1,7;derecho;01/07/2004;Libre;1450000;2008;San Lorenzo
Damián Martínez;Lateral derecho;19;1,77;derecho;-;;-;2008;San Lorenzo
Juan Manuel Torres;Pivote;23;1,71;derecho;01/08/2010;Unión San Felipe;3000000;2008;San Lorenzo
Santiago Hirsig;Mediocentro;31;1,84;derecho;10/07/2006;Arsenal Fútbol Club;2250000;2008;San Lorenzo
Diego Rivero;Mediocentro;34;1,63;derecho;01/01/2007;CD Cruz Azul;1800000;2008;San Lorenzo
Jorge Ortiz;Mediocentro;23;1,81;derecho;01/07/2004;CA San Lorenzo de Almagro Inferiores;1460000;2008;San Lorenzo
Wálter Acevedo;Mediocentro;30;1,78;derecho;01/07/2004;CA San Lorenzo de Almagro Inferiores;800000;2008;San Lorenzo
Salvador Reynoso;Mediocentro;18;1,82;derecho;01/01/2009;CA San Lorenzo de Almagro Inferiores;-;2008;San Lorenzo
Néstor Villalba;Interior derecho;22;-;derecho;-;;50000;2008;San Lorenzo
Daniel Bilos;Interior izquierdo;22;1,94;izquierdo;01/07/2007;Libre;2450000;2008;San Lorenzo
Emiliano Díaz;Interior izquierdo;20;1,78;izquierdo;01/07/2007;CA Platense;350000;2008;San Lorenzo
Andrés D'Alessandro;Mediocentro ofensivo;20;1,74;izquierdo;05/02/2008;Libre;4500000;2008;San Lorenzo
Gastón Fernández;Mediocentro ofensivo;23;1,7;derecho;07/02/2007;Libre;3600000;2008;San Lorenzo
Osmar Ferreyra;Mediocentro ofensivo;27;1,76;izquierdo;01/07/2006;Libre;2500000;2008;San Lorenzo
Walter Montillo;Mediocentro ofensivo;27;1,72;derecho;01/07/2007;Libre;400000;2008;San Lorenzo
Maximiliano Cipollone;Mediocentro ofensivo;26;-;derecho;-;;50000;2008;San Lorenzo
Juan Carlos Menseguez;Extremo derecho;24;-;-;01/08/2007;VfL Wolfsburgo;1350000;2008;San Lorenzo
Gonzalo Bergessio;Delantero centro;23;1,79;derecho;08/09/2016;Atlas Guadalajara;3200000;2008;San Lorenzo
Bernardo Romeo;Delantero centro;28;1,77;derecho;01/07/2011;Quilmes Atlético Club;3000000;2008;San Lorenzo
Andrés Silvera;Delantero centro;18;1,86;ambidiestro;01/07/2006;Libre;3000000;2008;San Lorenzo
Germán Herrera;Delantero centro;18;1,8;derecho;01/03/2007;Real Sociedad;1000000;2008;San Lorenzo
Hernán Peirone;Delantero centro;28;1,77;izquierdo;01/01/2005;CA San Lorenzo de Almagro Inferiores;900000;2008;San Lorenzo
Claudio Acosta;Delantero centro;27;1,73;derecho;-;;800000;2008;San Lorenzo
Jerónimo Morales Neumann;Delantero centro;19;1,72;derecho;01/07/2007;CS Emelec;75000;2008;San Lorenzo
Cristian Chávez;Delantero centro;24;1,75;derecho;01/02/2012;SSC Nápoles;75000;2008;San Lorenzo
Gonzalo Rovira;Delantero centro;21;1,79;derecho;01/07/2009;CA San Lorenzo de Almagro Inferiores;50000;2008;San Lorenzo
Agustín Orión;Portero;24;1,87;derecho;01/07/2003;CA San Lorenzo de Almagro Inferiores;4400000;2009;San Lorenzo
Hilario Navarro;Portero;33;1,86;derecho;01/03/2009;CA Independiente;1400000;2009;San Lorenzo
Pablo Migliore;Portero;35;1,91;derecho;01/07/2010;CA Boca Juniors;1100000;2009;San Lorenzo
Bruno Centeno;Portero;18;1,81;derecho;01/07/2008;CA San Lorenzo de Almagro Inferiores;200000;2009;San Lorenzo
Nereo Champagne;Portero;23;1,88;derecho;01/07/2004;CA San Lorenzo de Almagro Inferiores;100000;2009;San Lorenzo
Jonathan Bottinelli;Defensa central;20;1,79;izquierdo;10/08/2009;UC Sampdoria;3750000;2009;San Lorenzo
Gastón Aguirre;Defensa central;25;1,78;derecho;01/07/2007;CA Newell's Old Boys;2700000;2009;San Lorenzo
Renato Civelli;Defensa central;17;1,93;derecho;27/08/2009;Olympique de Marsella;2300000;2009;San Lorenzo
Nicolás Bianchi Arce;Defensa central;16;1,88;derecho;01/01/2006;CA San Lorenzo de Almagro Inferiores;1700000;2009;San Lorenzo
Sebastián Méndez;Defensa central;23;1,77;derecho;01/07/2006;RC Celta de Vigo;900000;2009;San Lorenzo
Cristian Tula;Defensa central;25;1,76;derecho;01/07/2007;Libre;800000;2009;San Lorenzo
Pablo Alvarado;Defensa central;27;1,82;derecho;01/07/2004;Comisión de Actividades Infantiles U19;600000;2009;San Lorenzo
Fernando Meza;Defensa central;19;1,76;derecho;01/01/2009;CA San Lorenzo de Almagro Inferiores;200000;2009;San Lorenzo
José Luis Palomino;Defensa central;19;1,88;izquierdo;01/07/2010;CA San Lorenzo de Almagro Inferiores;-;2009;San Lorenzo
Aureliano Torres;Lateral izquierdo;18;1,78;izquierdo;01/01/2007;Club Guaraní;2400000;2009;San Lorenzo
Germán Voboril;Lateral izquierdo;20;1,76;izquierdo;01/07/2006;CA San Lorenzo de Almagro Inferiores;900000;2009;San Lorenzo
Adrián González;Lateral derecho;19;1,7;derecho;01/07/2004;Libre;1700000;2009;San Lorenzo
Damián Martínez;Lateral derecho;24;1,77;derecho;-;;75000;2009;San Lorenzo
Pablo Pintos;Lateral derecho;26;1,82;derecho;27/07/2009;Defensor Sporting Club;-;2009;San Lorenzo
Juan Manuel Torres;Pivote;27;1,71;derecho;01/08/2010;Unión San Felipe;2700000;2009;San Lorenzo
Cristian Leiva;Pivote;25;1,76;ambidiestro;24/07/2009;CD Godoy Cruz Antonio Tomba;1200000;2009;San Lorenzo
Cristian Ledesma;Mediocentro;20;1,76;derecho;14/08/2008;Libre50 mil €;3400000;2009;San Lorenzo
Santiago Hirsig;Mediocentro;19;1,84;derecho;10/07/2006;Arsenal Fútbol Club;2200000;2009;San Lorenzo
Diego Rivero;Mediocentro;24;1,63;derecho;01/01/2007;CD Cruz Azul;2000000;2009;San Lorenzo
Jonathan Santana;Mediocentro;31;1,81;derecho;01/02/2009;VfL Wolfsburgo;1600000;2009;San Lorenzo
Wálter Acevedo;Mediocentro;24;1,78;derecho;01/07/2004;CA San Lorenzo de Almagro Inferiores;1200000;2009;San Lorenzo
Salvador Reynoso;Mediocentro;32;1,82;derecho;01/01/2009;CA San Lorenzo de Almagro Inferiores;300000;2009;San Lorenzo
Áxel Juárez;Mediocentro;23;1,79;derecho;01/05/2009;CA San Lorenzo de Almagro Inferiores;-;2009;San Lorenzo
Nauel de Vico;Interior derecho;21;-;derecho;-;;50000;2009;San Lorenzo
Santiago Solari;Interior izquierdo;21;1,85;izquierdo;01/07/2008;Libre;1600000;2009;San Lorenzo
Kily González;Interior izquierdo;23;1,78;izquierdo;01/07/2009;CA Rosario Central;1300000;2009;San Lorenzo
Gonzalo Bazán;Interior izquierdo;19;1,65;izquierdo;01/01/2009;CA San Lorenzo de Almagro Inferiores;-;2009;San Lorenzo
Leandro Romagnoli;Mediocentro ofensivo;24;1,72;derecho;01/08/2009;Sporting de Lisboa;2700000;2009;San Lorenzo
Leonel Rinaldi;Mediocentro ofensivo;22;-;;-;;-;2009;San Lorenzo
Papu Gómez;Extremo izquierdo;28;1,67;derecho;29/01/2009;Arsenal Fútbol Club;3300000;2009;San Lorenzo
Sebastián González;Extremo izquierdo;27;1,66;derecho;01/07/2009;CA San Lorenzo de Almagro Inferiores;75000;2009;San Lorenzo
Pablo Barrientos;Extremo derecho;36;1,76;izquierdo;02/07/2014;Libre;4200000;2009;San Lorenzo
Juan Carlos Menseguez;Extremo derecho;25;-;-;01/08/2007;VfL Wolfsburgo;1400000;2009;San Lorenzo
Fabián Bordagaray;Extremo derecho;18;1,73;derecho;01/05/2009;CA San Lorenzo de Almagro Inferiores;300000;2009;San Lorenzo
Gonzalo Bergessio;Delantero centro;24;1,79;derecho;08/09/2016;Atlas Guadalajara;3300000;2009;San Lorenzo
Andrés Silvera;Delantero centro;22;1,86;ambidiestro;01/07/2006;Libre;2700000;2009;San Lorenzo
Bruno Fornaroli;Delantero centro;29;1,74;derecho;12/02/2009;UC Sampdoria;1800000;2009;San Lorenzo
Bernardo Romeo;Delantero centro;19;1,77;derecho;01/07/2011;Quilmes Atlético Club;1400000;2009;San Lorenzo
Cristian Chávez;Delantero centro;19;1,75;derecho;01/02/2012;SSC Nápoles;1000000;2009;San Lorenzo
Hernán Peirone;Delantero centro;29;1,77;izquierdo;01/01/2005;CA San Lorenzo de Almagro Inferiores;300000;2009;San Lorenzo
Claudio Acosta;Delantero centro;28;1,73;derecho;-;;100000;2009;San Lorenzo
Gonzalo Rovira;Delantero centro;20;1,79;derecho;01/07/2009;CA San Lorenzo de Almagro Inferiores;50000;2009;San Lorenzo
Félix Orode;Delantero centro;21;1,78;derecho;-;;-;2009;San Lorenzo
Agustín Orión;Portero;25;1,87;derecho;01/07/2003;CA San Lorenzo de Almagro Inferiores;1800000;2010;San Lorenzo
Pablo Migliore;Portero;22;1,91;derecho;01/07/2010;CA Boca Juniors;1500000;2010;San Lorenzo
Nereo Champagne;Portero;19;1,88;derecho;01/07/2004;CA San Lorenzo de Almagro Inferiores;200000;2010;San Lorenzo
Bruno Centeno;Portero;25;1,81;derecho;01/07/2008;CA San Lorenzo de Almagro Inferiores;100000;2010;San Lorenzo
Gustavo Campagnuolo;Portero;34;1,87;;01/07/2009;Libre;100000;2010;San Lorenzo
Matías Vega;Portero;36;1,91;derecho;-;;25000;2010;San Lorenzo
Jonathan Bottinelli;Defensa central;18;1,79;izquierdo;10/08/2009;UC Sampdoria;2500000;2010;San Lorenzo
Gastón Aguirre;Defensa central;17;1,78;derecho;01/07/2007;CA Newell's Old Boys;2000000;2010;San Lorenzo
Renato Civelli;Defensa central;22;1,93;derecho;27/08/2009;Olympique de Marsella;1800000;2010;San Lorenzo
Nicolás Bianchi Arce;Defensa central;26;1,88;derecho;01/01/2006;CA San Lorenzo de Almagro Inferiores;1000000;2010;San Lorenzo
Fernando Meza;Defensa central;19;1,76;derecho;01/01/2009;CA San Lorenzo de Almagro Inferiores;750000;2010;San Lorenzo
Nahuel Iribarren;Defensa central;28;1,85;derecho;-;;200000;2010;San Lorenzo
José Luis Palomino;Defensa central;20;1,88;izquierdo;01/07/2010;CA San Lorenzo de Almagro Inferiores;75000;2010;San Lorenzo
Walter Kannemann;Defensa central;20;1,84;izquierdo;01/04/2012;CA San Lorenzo de Almagro Inferiores;50000;2010;San Lorenzo
Aureliano Torres;Lateral izquierdo;19;1,78;izquierdo;01/01/2007;Club Guaraní;1800000;2010;San Lorenzo
Nelson Benítez;Lateral izquierdo;20;1,81;izquierdo;01/07/2010;FC Oporto;900000;2010;San Lorenzo
Germán Voboril;Lateral izquierdo;27;1,76;izquierdo;01/07/2006;CA San Lorenzo de Almagro Inferiores;500000;2010;San Lorenzo
Pablo Pintos;Lateral derecho;27;1,82;derecho;27/07/2009;Defensor Sporting Club;1500000;2010;San Lorenzo
Sebastián Luna;Lateral derecho;21;1,78;derecho;01/07/2009;Quilmes Atlético Club;300000;2010;San Lorenzo
Damián Martínez;Lateral derecho;22;1,77;derecho;-;;250000;2010;San Lorenzo
Juan Manuel Torres;Pivote;25;1,71;derecho;01/08/2010;Unión San Felipe;2200000;2010;San Lorenzo
Cristian Leiva;Pivote;24;1,76;ambidiestro;24/07/2009;CD Godoy Cruz Antonio Tomba;800000;2010;San Lorenzo
Diego Rivero;Mediocentro;32;1,63;derecho;01/01/2007;CD Cruz Azul;1800000;2010;San Lorenzo
Salvador Reynoso;Mediocentro;32;1,82;derecho;01/01/2009;CA San Lorenzo de Almagro Inferiores;500000;2010;San Lorenzo
Áxel Juárez;Mediocentro;22;1,79;derecho;01/05/2009;CA San Lorenzo de Almagro Inferiores;300000;2010;San Lorenzo
Nauel de Vico;Interior derecho;22;-;derecho;-;;50000;2010;San Lorenzo
Kily González;Interior izquierdo;19;1,78;izquierdo;01/07/2009;CA Rosario Central;800000;2010;San Lorenzo
Sebastián Rusculleda;Interior izquierdo;20;1,75;izquierdo;01/01/2010;Al-Ahli SFC;700000;2010;San Lorenzo
Gonzalo Bazán;Interior izquierdo;20;1,65;izquierdo;01/01/2009;CA San Lorenzo de Almagro Inferiores;200000;2010;San Lorenzo
Santiago Prim;Interior izquierdo;31;1,78;izquierdo;01/07/2010;CA San Lorenzo de Almagro Inferiores;50000;2010;San Lorenzo
Leandro Romagnoli;Mediocentro ofensivo;23;1,72;derecho;01/08/2009;Sporting de Lisboa;2200000;2010;San Lorenzo
Nicolás Bertocchi;Mediocentro ofensivo;29;1,9;derecho;01/01/2010;CA San Lorenzo de Almagro Inferiores;50000;2010;San Lorenzo
Leandro Chaparro;Mediocentro ofensivo;21;1,73;izquierdo;-;;-;2010;San Lorenzo
Papu Gómez;Extremo izquierdo;23;1,67;derecho;29/01/2009;Arsenal Fútbol Club;2500000;2010;San Lorenzo
Sebastián González;Extremo izquierdo;26;1,66;derecho;01/07/2009;CA San Lorenzo de Almagro Inferiores;1000000;2010;San Lorenzo
Fabián Bordagaray;Extremo derecho;19;1,73;derecho;01/05/2009;CA San Lorenzo de Almagro Inferiores;1500000;2010;San Lorenzo
Juan Carlos Menseguez;Extremo derecho;20;-;-;01/08/2007;VfL Wolfsburgo;1200000;2010;San Lorenzo
Gonzalo Bergessio;Delantero centro;18;1,79;derecho;08/09/2016;Atlas Guadalajara;5000000;2010;San Lorenzo
Bernardo Romeo;Delantero centro;37;1,77;derecho;01/07/2011;Quilmes Atlético Club;1000000;2010;San Lorenzo
Emiliano Alfaro;Delantero centro;20;1,73;derecho;01/01/2010;Liverpool FC Montevideo;750000;2010;San Lorenzo
Gonzalo Rovira;Delantero centro;32;1,79;derecho;01/07/2009;CA San Lorenzo de Almagro Inferiores;450000;2010;San Lorenzo
Víctor Meza;Delantero centro;25;1,9;derecho;01/08/2009;Unión San Felipe;400000;2010;San Lorenzo
Félix Orode;Delantero centro;23;1,78;derecho;-;;50000;2010;San Lorenzo
Nahuel Benítez;Delantero centro;30;1,77;derecho;01/05/2010;CA San Lorenzo de Almagro Inferiores;-;2010;San Lorenzo
Pablo Migliore;Portero;21;1,91;derecho;01/07/2010;CA Boca Juniors;1500000;2011;San Lorenzo
Damián Albil;Portero;30;1,84;derecho;01/07/2010;Libre;300000;2011;San Lorenzo
Bruno Centeno;Portero;23;1,81;derecho;01/07/2008;CA San Lorenzo de Almagro Inferiores;50000;2011;San Lorenzo
Ezequiel Mastrolía;Portero;26;1,9;derecho;-;;50000;2011;San Lorenzo
Matías Vega;Portero;18;1,91;derecho;-;;25000;2011;San Lorenzo
Jonathan Bottinelli;Defensa central;37;1,79;izquierdo;10/08/2009;UC Sampdoria;2000000;2011;San Lorenzo
Gastón Aguirre;Defensa central;20;1,78;derecho;01/07/2007;CA Newell's Old Boys;800000;2011;San Lorenzo
Jonathan Ferrari;Defensa central;26;1,87;derecho;01/01/2011;Club Atlético All Boys;800000;2011;San Lorenzo
Diego Herner;Defensa central;19;1,86;derecho;01/07/2010;Club Cerro Porteño;700000;2011;San Lorenzo
Cristian Tula;Defensa central;24;1,76;derecho;01/07/2007;Libre;600000;2011;San Lorenzo
Fernando Meza;Defensa central;24;1,76;derecho;01/01/2009;CA San Lorenzo de Almagro Inferiores;600000;2011;San Lorenzo
José Luis Palomino;Defensa central;16;1,88;izquierdo;01/07/2010;CA San Lorenzo de Almagro Inferiores;500000;2011;San Lorenzo
Pablo Alvarado;Defensa central;18;1,82;derecho;01/07/2004;Comisión de Actividades Infantiles U19;300000;2011;San Lorenzo
Abel Luciatti;Defensa central;33;1,79;izquierdo;-;;-;2011;San Lorenzo
Aureliano Torres;Lateral izquierdo;20;1,78;izquierdo;01/01/2007;Club Guaraní;1600000;2011;San Lorenzo
Nelson Benítez;Lateral izquierdo;27;1,81;izquierdo;01/07/2010;FC Oporto;600000;2011;San Lorenzo
Germán Voboril;Lateral izquierdo;29;1,76;izquierdo;01/07/2006;CA San Lorenzo de Almagro Inferiores;500000;2011;San Lorenzo
Diego Placente;Lateral izquierdo;29;1,75;izquierdo;01/07/2010;Libre;300000;2011;San Lorenzo
Giancarlo Carmona;Lateral derecho;21;1,87;derecho;01/01/2011;Universitario de Deportes;1200000;2011;San Lorenzo
Sebastián Luna;Lateral derecho;20;1,78;derecho;01/07/2009;Quilmes Atlético Club;500000;2011;San Lorenzo
José San Román;Lateral derecho;21;1,72;derecho;01/08/2010;Unión San Felipe;300000;2011;San Lorenzo
Adrián Martínez;Lateral derecho;22;1,77;derecho;01/01/2011;CA San Lorenzo de Almagro Inferiores;-;2011;San Lorenzo
Néstor Ortigoza;Pivote;28;1,8;derecho;01/07/2021;AA Estudiantes Río Cuarto;2300000;2011;San Lorenzo
Juan Manuel Torres;Pivote;23;1,71;derecho;01/08/2010;Unión San Felipe;2000000;2011;San Lorenzo
Diego Rivero;Mediocentro;26;1,63;derecho;01/01/2007;CD Cruz Azul;1000000;2011;San Lorenzo
Guillermo Pereyra;Mediocentro;25;1,83;derecho;01/07/2010;Real Murcia CF;700000;2011;San Lorenzo
Salvador Reynoso;Mediocentro;33;1,82;derecho;01/01/2009;CA San Lorenzo de Almagro Inferiores;500000;2011;San Lorenzo
Leonardo López;Mediocentro;33;1,83;derecho;01/07/2010;Boyacá Chicó FC;300000;2011;San Lorenzo
Jonathan Pacheco;Mediocentro;20;1,78;derecho;01/07/2011;CA San Lorenzo de Almagro Inferiores;-;2011;San Lorenzo
Fernando Gutiérrez;Interior derecho;21;1,75;derecho;01/07/2011;CA San Lorenzo de Almagro Inferiores;75000;2011;San Lorenzo
Matías Giménez;Interior izquierdo;21;1,81;izquierdo;01/01/2011;CA Boca Juniors;700000;2011;San Lorenzo
Sebastián Rusculleda;Interior izquierdo;24;1,75;izquierdo;01/01/2010;Al-Ahli SFC;300000;2011;San Lorenzo
Gonzalo Bazán;Interior izquierdo;32;1,65;izquierdo;01/01/2009;CA San Lorenzo de Almagro Inferiores;300000;2011;San Lorenzo
Leandro Romagnoli;Mediocentro ofensivo;19;1,72;derecho;01/08/2009;Sporting de Lisboa;1400000;2011;San Lorenzo
Nicolás Bertocchi;Mediocentro ofensivo;31;1,9;derecho;01/01/2010;CA San Lorenzo de Almagro Inferiores;75000;2011;San Lorenzo
Julio Ramírez;Mediocentro ofensivo;22;1,8;ambidiestro;01/07/2012;CA San Lorenzo de Almagro Inferiores;-;2011;San Lorenzo
Sebastián González;Extremo izquierdo;30;1,66;derecho;01/07/2009;CA San Lorenzo de Almagro Inferiores;600000;2011;San Lorenzo
Fabricio Pedrozo;Extremo izquierdo;20;1,78;derecho;01/07/2010;CA San Lorenzo de Almagro Inferiores;300000;2011;San Lorenzo
Juan Carlos Menseguez;Extremo derecho;27;-;-;01/08/2007;VfL Wolfsburgo;1000000;2011;San Lorenzo
Fabián Bordagaray;Extremo derecho;33;1,73;derecho;01/05/2009;CA San Lorenzo de Almagro Inferiores;600000;2011;San Lorenzo
Juan Salgueiro;Mediapunta;31;1,78;derecho;10/01/2011;Libre,12 mill. €;1500000;2011;San Lorenzo
Pablo Velázquez;Delantero centro;22;1,92;izquierdo;01/01/2011;Club Libertad Asunción;1000000;2011;San Lorenzo
Sebastián Balsas;Delantero centro;31;1,97;derecho;03/08/2010;Club Nacional;700000;2011;San Lorenzo
Gonzalo Rovira;Delantero centro;27;1,79;derecho;01/07/2009;CA San Lorenzo de Almagro Inferiores;600000;2011;San Lorenzo
Emiliano Alfaro;Delantero centro;21;1,73;derecho;01/01/2010;Liverpool FC Montevideo;600000;2011;San Lorenzo
Nahuel Benítez;Delantero centro;29;1,77;derecho;01/05/2010;CA San Lorenzo de Almagro Inferiores;200000;2011;San Lorenzo
César Lamanna;Delantero centro;20;1,87;derecho;01/07/2010;CA Estudiantes Buenos Aires;-;2011;San Lorenzo
Rafael Cabrera;Centrocampista;17;-;;-;;-;2012;San Lorenzo
Pablo Migliore;Portero;25;1,91;derecho;01/07/2010;CA Boca Juniors;1500000;2012;San Lorenzo
Nereo Champagne;Portero;25;1,88;derecho;01/07/2004;CA San Lorenzo de Almagro Inferiores;250000;2012;San Lorenzo
Ezequiel Mastrolía;Portero;19;1,9;derecho;-;;50000;2012;San Lorenzo
Juan Figueroa;Portero;21;1,76;derecho;-;;-;2012;San Lorenzo
Jonathan Bottinelli;Defensa central;34;1,79;izquierdo;10/08/2009;UC Sampdoria;2000000;2012;San Lorenzo
Nicolás Bianchi Arce;Defensa central;28;1,88;derecho;01/01/2006;CA San Lorenzo de Almagro Inferiores;800000;2012;San Lorenzo
Jonathan Ferrari;Defensa central;22;1,87;derecho;01/01/2011;Club Atlético All Boys;800000;2012;San Lorenzo
